RAW,NORMALIZED,IDENTITY,BRAND,IS_SERVICE,IS_FOOD,IS_MEAT
TOMA CORRIENTE  DOBLE HOME SOLUTION 110 V,toma corriente doble home solution 110 v,toma|corriente|doble|home|solution|110|v,,False,False,False
TOMACORRIENTE 220V KOLNY,tomacorriente 220v kolny,tomacorriente|220v|kolny,,False,False,False
CAJA BREAKER GE 2 A 4,caja breaker ge 2 a 4,caja|breaker|ge|2|a|4,,False,False,False
BREAKER GE 1P 20A GRUESO,breaker ge 1p 20a grueso,breaker|ge|1p|20a|grueso,,False,False,False
CABLE GOMA 8/3 SJTW NEGRO,cable goma 8/3 sjtw negro,cable|goma|8/3|sjtw|negro|8/3,,False,False,False
ALAMBRE ELECT. AWG  #12 NEGRO,alambre elect. awg 12 negro,alambre|elect.|awg|12|negro,,False,False,False
ALAMBRE ELECT. AWG  #12 BLANCO,alambre elect. awg 12 blanco,alambre|elect.|awg|12|blanco,,False,False,False
PINTURA SHERWIN WILLIAMS DE 1/4 (SW 7558),pintura sherwin williams de 1/4 sw 7558,pintura|sherwin|williams|1/4|sw|7558|1/4,,False,False,False
TROPICAL ACRILICA US SATINADA BLANCO 00,tropical acrilica us satinada blanco 00,tropical|acrilica|us|satinada|blanco|00,Tropical,False,False,False
PINTURA TROPICAL CONTRACTOR NEGRO 53 POSITIVO,pintura tropical contractor negro 53 positivo,pintura|tropical|contractor|negro|53|positivo,Tropical,False,False,False
MOTAS ANTIGOTAS 9'' EM,motas antigotas 9 em,motas|antigotas|9|em,,False,False,False
